18:04:01.52 -28:58:46.57
17:54:00.00 +00:36:00.00
10:17:51.32 -71:56:41.64
10:56:45.99 -71:17:53.39
11:25:44.36 -58:25:16.86
14:05:51.42 -46:56:02.275
13:37:31.88 -64:23:04.93
14:31:44.61 -47:15:27.575
14:31:03.49 -57:40:11.65
14:46:35.71 -47:01:26.76
15:02:18.63 -67:52:16.85
15:25:28.13 -55:45:49.84
15:29:15.10 -38:28:45.85
15:43:44.14 -51:49:54.87
15:45:55.95 -45:50:37.46
16:22:03.66 -66:17:16.99
16:53:30.62 -20:53:38.50
17:05:43.85 -19:03:40.87
17:08:17.62 -35:06:22.69
17:19:10.07 -14:38:00.94
17:31:17.60 -18:47:33.53
17:55:26.04 -37:15:39.50
18:01:25.89 -32:10:53.58
18:11:19.85 -24:05:19.84
18:25:55.50 -03:22:57.40
18:26:35.79 -24:15:10.82
18:32:27.59 -08:36:54.96
22:36:51.85 -55:27:48.84
23:22:34.63 -26:50:57.98
20:03:51.1- -09:34:39.00
17:58:07.65 -27:43:19.40
11:01:37.17 -64:24:39.72
